conc,rain_setting,exp,rep,Attribute,Value
0.1,3,3,3,ddpcRquant,0.091786396
0.1,3,3,3,umbrella,0.10142383
0.1,3,3,3,em_t,0.097723089
0.1,3,3,3,em_tskew,0.097116811
0.1,3,4,1,cloudy,0.084142768
0.1,3,4,1,ddpcRquant,0.093157498
0.1,3,4,1,umbrella,0.102032726
0.1,3,4,1,em_t,0.097943644
0.1,3,4,1,em_tskew,0.097943644
0.1,3,4,2,cloudy,0.085176697
0.1,3,4,2,ddpcRquant,0.092883127
0.1,3,4,2,umbrella,0.100704704
0.1,3,4,2,em_t,0.097392346
0.1,3,4,2,em_tskew,0.097392346
0.1,3,4,3,cloudy,0.094585442
0.1,3,4,3,ddpcRquant,0.0927734
0.1,3,4,3,umbrella,0.10330707
0.1,3,4,3,em_t,0.096841351
0.1,3,4,3,em_tskew,0.096841351
0.1,3,5,1,cloudy,0.094475528
0.1,3,5,1,ddpcRquant,0.091402823
0.1,3,5,1,umbrella,0.098440073
0.1,3,5,1,em_t,0.096951526
0.1,3,5,1,em_tskew,0.096676112
0.1,3,5,2,cloudy,0.094310679
0.1,3,5,2,ddpcRquant,0.090690865
0.1,3,5,2,umbrella,0.100262422
0.1,3,5,2,em_t,0.097282123
0.1,3,5,2,em_tskew,0.097227016
0.1,3,5,3,cloudy,0.083979614
0.1,3,5,3,ddpcRquant,0.09123848
0.1,3,5,3,umbrella,0.101700555
0.1,3,5,3,em_t,0.097998791
0.1,3,5,3,em_tskew,0.097998791
0.1,4,1,1,cloudy,0.074939087
0.1,4,1,1,ddpcRquant,0.080017708
0.1,4,1,1,umbrella,0.103417959
0.1,4,1,1,em_t,0.092608832
0.1,4,1,1,em_tskew,0.091896015
0.1,4,1,2,cloudy,0.075639914
0.1,4,1,2,ddpcRquant,0.080396937
0.1,4,1,2,umbrella,0.101147182
0.1,4,1,2,em_t,0.093651556
0.1,4,1,2,em_tskew,0.092992867
0.1,4,1,3,cloudy,0.088339531
0.1,4,1,3,ddpcRquant,0.078015597
0.1,4,1,3,umbrella,0.10858794
0.1,4,1,3,em_t,0.091567194
0.1,4,1,3,em_tskew,0.091512401
0.1,4,2,1,cloudy,0.077907489
0.1,4,2,1,ddpcRquant,0.081047379
0.1,4,2,1,umbrella,0.101811266
0.1,4,2,1,em_t,0.091731591
0.1,4,2,1,em_tskew,0.091567194
0.1,4,2,2,cloudy,0.079367935
0.1,4,2,2,ddpcRquant,0.082675337
0.1,4,2,2,umbrella,0.1062498
0.1,4,2,2,em_t,0.09502522
0.1,4,2,2,em_tskew,0.094420576
0.1,4,2,3,cloudy,0.07278577
0.1,4,2,3,ddpcRquant,0.079584479
0.1,4,2,3,umbrella,0.102032726
0.1,4,2,3,em_t,0.094475528
0.1,4,2,3,em_tskew,0.094695369
0.1,4,3,1,cloudy,0.089323138
0.1,4,3,1,ddpcRquant,0.080234393
0.1,4,3,1,umbrella,0.098109093
0.1,4,3,1,em_t,0.092553982
0.1,4,3,1,em_tskew,0.092224944
0.1,4,3,2,cloudy,0.076881044
0.1,4,3,2,ddpcRquant,0.082078111
0.1,4,3,2,umbrella,0.099488899
0.1,4,3,2,em_t,0.093816296
0.1,4,3,2,em_tskew,0.094255736
0.1,4,3,3,cloudy,0.087466026
0.1,4,3,3,ddpcRquant,0.081047379
0.1,4,3,3,umbrella,0.100428255
0.1,4,3,3,em_t,0.093212382
0.1,4,3,3,em_tskew,0.092334611
0.1,4,4,1,cloudy,0.070476114
0.1,4,4,1,ddpcRquant,0.083327263
0.1,4,4,1,umbrella,0.099875585
0.1,4,4,1,em_t,0.092279776
0.1,4,4,1,em_tskew,0.092005646
0.1,4,4,2,cloudy,0.089760607
0.1,4,4,2,ddpcRquant,0.082512422
0.1,4,4,2,umbrella,0.098936748
0.1,4,4,2,em_t,0.093706466
0.1,4,4,2,em_tskew,0.093102618
0.1,4,4,3,cloudy,0.077583235
0.1,4,4,3,ddpcRquant,0.084251552
0.1,4,4,3,umbrella,0.105249411
0.1,4,4,3,em_t,0.094915258
0.1,4,4,3,em_tskew,0.094145858
0.1,4,5,1,cloudy,0.075909594
0.1,4,5,1,ddpcRquant,0.086375216
0.1,4,5,1,umbrella,0.098329734
0.1,4,5,1,em_t,0.093212382
0.1,4,5,1,em_tskew,0.092608832
0.1,4,5,2,cloudy,0.087957279
0.1,4,5,2,ddpcRquant,0.088175691
0.1,4,5,2,umbrella,0.100262422
0.1,4,5,2,em_t,0.093816296
0.1,4,5,2,em_tskew,0.093816296
0.1,4,5,3,cloudy,0.075316394
0.1,4,5,3,ddpcRquant,0.086102699
0.1,4,5,3,umbrella,0.100317697
0.1,4,5,3,em_t,0.093596649
0.1,4,5,3,em_tskew,0.093651556
0.4,1,1,1,cloudy,0.400029906
0.4,1,1,1,ddpcRquant,0.400029906
0.4,1,1,1,umbrella,0.400029906
